OBJECTID,lat,long,hoverText,heading,weeklyImpr,productTyp,POINT_X,POINT_Y
1377,33.611011,-111.977995,"SB TATUM BLVD FS THUNDERBIRD RD
",S,64521,SHELTERS,-12465333.38,3976689.138
1378,33.654803,-111.977669,"SB TATUM BLVD FS UNION HILLS DR
",N,81793,SHELTERS,-12465297.09,3982544.151
1379,33.654803,-111.977669,"SB TATUM BLVD FS UNION HILLS DR
",S,48303,SHELTERS,-12465297.09,3982544.151
1380,33.465639,-112.047368,"EB MCDOWELL RD FS 16TH ST
",W,91065,SHELTERS,-12473055.95,3957274.11
1381,33.465639,-112.047368,"EB MCDOWELL RD FS 16TH ST
",E,54398,SHELTERS,-12473055.95,3957274.11
1382,33.465693,-112.043007,"EB MCDOWELL RD FS 18TH ST
",W,91065,SHELTERS,-12472570.49,3957281.316
1383,33.465693,-112.043007,"EB MCDOWELL RD FS 18TH ST
",E,54398,SHELTERS,-12472570.49,3957281.316
1384,33.436297,-112.047862,"SB 16TH ST FS BUCKEYE RD
",N,54094,SHELTERS,-12473110.94,3953359.319
1385,33.436297,-112.047862,"SB 16TH ST FS BUCKEYE RD
",S,35798,SHELTERS,-12473110.94,3953359.319
1386,33.391993,-112.047507,"SB 16TH ST FS SOUTHERN AVE
",N,46136,SHELTERS,-12473071.42,3947450.815
1387,33.391993,-112.047507,"SB 16TH ST FS SOUTHERN AVE
",S,28441,SHELTERS,-12473071.42,3947450.815
1388,33.423203,-112.047905,"SB 16TH ST FS UNIVERSITY DR
",N,64302,SHELTERS,-12473115.73,3951612.753
1389,33.423203,-112.047905,"SB 16TH ST FS UNIVERSITY DR
",S,38763,SHELTERS,-12473115.73,3951612.753
1390,33.447914,-112.047898,"SB 16TH ST FS WASHINGTON ST
",N,64288,SHELTERS,-12473114.95,3954909.093
1391,33.447914,-112.047898,"SB 16TH ST FS WASHINGTON ST
",S,38174,SHELTERS,-12473114.95,3954909.093
1392,33.465631,-112.029872,"EB MCDOWELL RD FS 24TH ST
",W,67412,SHELTERS,-12471108.3,3957273.042
1393,33.465631,-112.029872,"EB MCDOWELL RD FS 24TH ST
",E,40533,SHELTERS,-12471108.3,3957273.042
1394,33.446706,-112.030309,"SB 24TH ST FS JEFFERSON ST
",N,50651,SHELTERS,-12471156.95,3954747.929
1395,33.446706,-112.030309,"SB 24TH ST FS JEFFERSON ST
",S,30934,SHELTERS,-12471156.95,3954747.929
1396,33.421995,-112.030506,"SB 24TH ST FS MAGNOLIA ST
",E,42597,BENCHES,-12471178.88,3951451.635
1397,33.392603,-112.030228,"SB 24TH ST FS SOUTHERN AVE
",N,57206,SHELTERS,-12471147.93,3947532.145
1398,33.392603,-112.030228,"SB 24TH ST FS SOUTHERN AVE
",S,34460,SHELTERS,-12471147.93,3947532.145
1399,33.423492,-112.030508,"SB 24TH ST FS UNIVERSITY DR
",N,55383,SHELTERS,-12471179.1,3951651.299
1400,33.423492,-112.030508,"SB 24TH ST FS UNIVERSITY DR
",S,33601,SHELTERS,-12471179.1,3951651.299
1401,33.410125,-112.029909,"SB 24TH ST NS JONES AVE
",N,55383,SHELTERS,-12471112.42,3949868.584
1402,33.410125,-112.029909,"SB 24TH ST NS JONES AVE
",S,33601,SHELTERS,-12471112.42,3949868.584
1403,33.408094,-112.012744,"SB 32ND ST FS WOOD ST
",NE,79719,SHELTERS,-12469201.62,3949597.74
1404,33.408094,-112.012744,"SB 32ND ST FS WOOD ST
",S,47045,SHELTERS,-12469201.62,3949597.74
1405,33.42218,-112.134611,"SB 35TH AVE FS LOWER BUCKEYE RD
",N,73896,SHELTERS,-12482767.8,3951476.309
1406,33.42218,-112.134611,"SB 35TH AVE FS LOWER BUCKEYE RD
",S,41581,SHELTERS,-12482767.8,3951476.309
